,CVE_CLPV,FECHA_ENT,FECHA_VEN,CAN_TOT
287,      4486,2019-09-12 00:00:00,2019-09-30,1900.5000000000002
288,      6486,2019-09-30 00:00:00,2019-09-30,332.76000000000005
289,      5233,2019-09-30 00:00:00,2019-09-30,1080.42
290,      5926,2019-09-30 00:00:00,2019-09-30,2830.1724000000004
291,      4802,2019-09-30 00:00:00,2019-09-30,299.43690000000004
292,      2325,2019-09-30 00:00:00,2019-09-30,6737.198200000001
293,      5926,2019-09-30 00:00:00,2019-09-30,11190.000000000002
294,      5493,2019-09-30 00:00:00,2019-09-30,2700.0
295,      4563,2019-09-30 00:00:00,2019-09-30,3662.7586
296,      5926,2019-09-30 00:00:00,2019-09-30,5255.25
297,      6576,2019-09-30 00:00:00,2019-09-30,3117.4482000000003
298,      3806,2019-09-30 00:00:00,2019-09-30,3356.844
299,      1083,2019-09-30 00:00:00,2019-09-30,4070.5517000000004
300,      6322,2019-09-30 00:00:00,2019-09-30,8143.793100000001
301,      5926,2019-09-30 00:00:00,2019-09-30,636.5517000000001
302,      5881,2019-09-30 00:00:00,2019-09-30,5570.646500000001
303,      3455,2019-09-30 00:00:00,2019-09-30,3713.5948000000003
304,      5149,2019-09-30 00:00:00,2019-09-30,871.1551000000001
305,      1703,2019-09-30 00:00:00,2019-10-30,50994.00000000001
306,      6834,2019-09-30 00:00:00,2019-09-30,1836.2068000000002
307,      6754,2019-09-30 00:00:00,2019-09-30,1267.8965
308,      5926,2019-09-30 00:00:00,2019-09-30,1724.1379000000002
309,      6278,2019-09-30 00:00:00,2019-09-30,431.0344
310,      5926,2019-09-30 00:00:00,2019-09-30,623.75
311,      5926,2019-09-30 00:00:00,2019-09-30,498.2758
312,      5598,2019-09-30 00:00:00,2019-09-30,571.6379000000001
313,      5523,2019-09-30 00:00:00,2019-09-30,1288.7931
314,      5926,2019-09-30 00:00:00,2019-09-30,344.8275
315,      5926,2019-09-30 00:00:00,2019-09-30,258.6206
316,      5926,2019-09-30 00:00:00,2019-09-30,650.0
317,      5926,2019-09-30 00:00:00,2019-09-30,332.7582
318,      5926,2019-09-30 00:00:00,2019-09-30,862.0689000000001
319,      5926,2019-09-30 00:00:00,2019-09-30,7512.0
320,      5438,2019-09-27 00:00:00,2019-11-01,14495.000000000002
321,      5418,2019-10-02 00:00:00,2019-10-02,1014.82
322,      2385,2019-10-02 00:00:00,2019-11-01,23266.250000000004
323,      1965,2019-10-02 00:00:00,2019-10-17,976.5000000000001
324,      3846,2019-09-30 00:00:00,2019-11-01,15085.300000000003
